"opportunity_id","sales_agent","product","account","deal_stage","engage_date","close_date","close_value","sale_cycle_duration","manager","regional_office","team_id","series","sales_price","quarter","sales_variance","sales_variance_status"
"KNY1OSAB","Maureen Marcano","GTX Pro","Labdrill","Won","2016-11-11","2017-03-14",4899.0,123,"Summer Sewald","West",6,"GTX",4821,1,78,"Positive Variance"
"EAZDUUM9","Rosie Papadopoulos","MG Advanced","Zotware","Lost","2016-11-11","2017-03-01",0.0,110,"Cara Losch","East",1,"MG",3393,1,-3393,"Negative Variance"
"2STUSOFE","Versie Hillebrand","MG Special","dambase","Won","2016-11-11","2017-03-03",67.0,112,"Dustin Brinkmann","Central",3,"MG",55,1,12,"Positive Variance"
"JYKM0B00","James Ascencio","GTX Pro","Xx-holding","Won","2016-11-12","2017-03-06",4338.0,114,"Summer Sewald","West",6,"GTX",4821,1,-483,"Negative Variance"
"KU28360J","Kary Hendrixson","GTX Basic","Fasehatice","Won","2016-11-12","2017-03-19",578.0,127,"Summer Sewald","West",6,"GTX",550,1,28,"Positive Variance"
"N4SD17JR","Reed Clapper","GTX Basic","Acme Corporation","Won","2016-11-12","2017-03-01",556.0,109,"Rocco Neubert","East",5,"GTX",550,1,6,"Positive Variance"
"E67P9Y3Q","Rosalina Dieter","GTX Basic","Green-Plus","Won","2016-11-12","2017-03-03",635.0,111,"Celia Rouche","West",2,"GTX",550,1,85,"Positive Variance"
"AT3MMVIS","Wilburn Farren","MG Advanced","The New York Inquirer","Won","2016-11-12","2017-03-07",3045.0,115,"Cara Losch","East",1,"MG",3393,1,-348,"Negative Variance"
"REJ11LRY","Garret Kinder","GTX Plus Basic","Mathtouch","Won","2016-11-13","2017-03-14",1233.0,121,"Cara Losch","East",1,"GTX",1096,1,137,"Positive Variance"
"ERV0CAZ7","Versie Hillebrand","MG Special","Zumgoity","Won","2016-11-13","2017-03-09",60.0,116,"Dustin Brinkmann","Central",3,"MG",55,1,5,"Positive Variance"
"8SOQADK7","Anna Snelling","MG Special","Gogozoom","Lost","2016-11-14","2017-03-30",0.0,136,"Dustin Brinkmann","Central",3,"MG",55,1,-55,"Negative Variance"
"TCHFT25B","Darcel Schlecht","GTX Basic","Stanredtax","Lost","2016-11-14","2017-03-08",0.0,114,"Melvin Marxen","Central",4,"GTX",550,1,-550,"Negative Variance"
"CZVN09WN","Darcel Schlecht","GTX Plus Basic","Konmatfix","Won","2016-11-14","2017-03-20",1170.0,126,"Melvin Marxen","Central",4,"GTX",1096,1,74,"Positive Variance"
"30UQWUKB","Marty Freudenburg","GTX Plus Basic","Genco Pura Olive Oil Company","Won","2016-11-15","2017-03-20",1162.0,125,"Melvin Marxen","Central",4,"GTX",1096,1,66,"Positive Variance"
"97UN20YY","Darcel Schlecht","MG Advanced","Conecom","Won","2016-11-16","2017-03-14",3725.0,118,"Melvin Marxen","Central",4,"MG",3393,1,332,"Positive Variance"
"JXLERZ9O","Kary Hendrixson","GTX Basic","Golddex","Won","2016-11-16","2017-03-31",559.0,135,"Summer Sewald","West",6,"GTX",550,1,9,"Positive Variance"
"6ROE69W5","Rosalina Dieter","GTX Basic","Plexzap","Lost","2016-11-16","2017-03-11",0.0,115,"Celia Rouche","West",2,"GTX",550,1,-550,"Negative Variance"
"0DFXFKT7","Darcel Schlecht","GTX Plus Basic","Rundofase","Lost","2016-11-17","2017-03-21",0.0,124,"Melvin Marxen","Central",4,"GTX",1096,1,-1096,"Negative Variance"
"XKMZVSN4","James Ascencio","GTX Plus Pro","Sonron","Won","2016-11-17","2017-03-05",4667.0,108,"Summer Sewald","West",6,"GTX",5482,1,-815,"Negative Variance"
"IU8V0BZK","Marty Freudenburg","GTX Plus Basic","Finhigh","Won","2016-11-17","2017-03-17",903.0,120,"Melvin Marxen","Central",4,"GTX",1096,1,-193,"Negative Variance"
"XY42936P","Maureen Marcano","GTX Plus Basic","Finjob","Won","2016-11-17","2017-03-13",1180.0,116,"Summer Sewald","West",6,"GTX",1096,1,84,"Positive Variance"
"XRN54MBM","Niesha Huffines","GTX Basic","Ron-tech","Won","2016-11-17","2017-03-05",487.0,108,"Melvin Marxen","Central",4,"GTX",550,1,-63,"Negative Variance"
"2V848WZD","Lajuana Vencill","MG Advanced","Stanredtax","Won","2016-11-18","2017-03-04",3180.0,106,"Dustin Brinkmann","Central",3,"MG",3393,1,-213,"Negative Variance"
"ONYNTUCG","Darcel Schlecht","GTX Pro","Funholding","Lost","2016-11-19","2017-03-17",0.0,118,"Melvin Marxen","Central",4,"GTX",4821,1,-4821,"Negative Variance"
"HIOHX80Y","Darcel Schlecht","MG Advanced","Gogozoom","Won","2016-11-19","2017-03-18",3563.0,119,"Melvin Marxen","Central",4,"MG",3393,1,170,"Positive Variance"
"LPKT07PV","Boris Faz","GTX Pro","Opentech","Won","2016-11-20","2017-03-23",4704.0,123,"Rocco Neubert","East",5,"GTX",4821,1,-117,"Negative Variance"
"WPB2SLIG","Donn Cantrell","GTX Plus Pro","Silis","Won","2016-11-20","2017-03-14",5585.0,114,"Rocco Neubert","East",5,"GTX",5482,1,103,"Positive Variance"
"XUSUEAV7","Elease Gluck","GTK 500","Zoomit","Won","2016-11-20","2017-03-09",25897.0,109,"Celia Rouche","West",2,"GTK",26768,1,-871,"Negative Variance"
"3TYPII47","Kami Bicknell","GTX Plus Basic","Goodsilron","Won","2016-11-20","2017-03-03",1207.0,103,"Summer Sewald","West",6,"GTX",1096,1,111,"Positive Variance"
"7WAX8Z8O","Lajuana Vencill","MG Advanced","Cancity","Lost","2016-11-20","2017-03-08",0.0,108,"Dustin Brinkmann","Central",3,"MG",3393,1,-3393,"Negative Variance"
"MYDUMR3R","Lajuana Vencill","GTX Basic","Rangreen","Won","2016-11-20","2017-03-04",559.0,104,"Dustin Brinkmann","Central",3,"GTX",550,1,9,"Positive Variance"
"37JFKD4I","Niesha Huffines","GTX Plus Basic","dambase","Won","2016-11-20","2017-03-09",1033.0,109,"Melvin Marxen","Central",4,"GTX",1096,1,-63,"Negative Variance"
"25YKPHX8","Donn Cantrell","GTX Basic","Kan-code","Won","2016-11-21","2017-03-21",462.0,120,"Rocco Neubert","East",5,"GTX",550,1,-88,"Negative Variance"
"BXXMA7F3","Hayden Neloms","MG Advanced","Nam-zim","Lost","2016-11-21","2017-03-01",0.0,100,"Celia Rouche","West",2,"MG",3393,1,-3393,"Negative Variance"
"GIUUTBXM","Kary Hendrixson","GTX Pro","Y-corporation","Won","2016-11-21","2017-03-14",5539.0,113,"Summer Sewald","West",6,"GTX",4821,1,718,"Positive Variance"
"MFX2LR1Q","Lajuana Vencill","MG Advanced","Ron-tech","Won","2016-11-21","2017-03-15",3573.0,114,"Dustin Brinkmann","Central",3,"MG",3393,1,180,"Positive Variance"
"DUHE9FLY","Marty Freudenburg","GTX Pro","Conecom","Won","2016-11-21","2017-03-01",4926.0,100,"Melvin Marxen","Central",4,"GTX",4821,1,105,"Positive Variance"
"96BSG7R1","Zane Levy","GTX Plus Basic","Sunnamplex","Lost","2016-11-21","2017-03-17",0.0,116,"Summer Sewald","West",6,"GTX",1096,1,-1096,"Negative Variance"
"7FQMSWIX","Corliss Cosme","MG Special","Bioplex","Won","2016-11-22","2017-03-04",62.0,102,"Cara Losch","East",1,"MG",55,1,7,"Positive Variance"
"C20AVXN7","Darcel Schlecht","GTX Pro","Gogozoom","Won","2016-11-22","2017-03-14",4359.0,112,"Melvin Marxen","Central",4,"GTX",4821,1,-462,"Negative Variance"
"GS1QVWCR","Kami Bicknell","GTX Basic","Plusstrip","Won","2016-11-22","2017-03-31",566.0,129,"Summer Sewald","West",6,"GTX",550,1,16,"Positive Variance"
"ZWH8FXY3","Marty Freudenburg","GTX Basic","Toughzap","Won","2016-11-22","2017-03-03",508.0,101,"Melvin Marxen","Central",4,"GTX",550,1,-42,"Negative Variance"
"2U94Y3Q9","Rosie Papadopoulos","MG Advanced","Vehement Capital Partners","Lost","2016-11-22","2017-03-20",0.0,118,"Cara Losch","East",1,"MG",3393,1,-3393,"Negative Variance"
"AAR79NOO","Versie Hillebrand","MG Special","Codehow","Won","2016-11-22","2017-03-11",51.0,109,"Dustin Brinkmann","Central",3,"MG",55,1,-4,"Negative Variance"
"B6B0PNR2","Vicki Laflamme","GTX Pro","Dalttechnology","Won","2016-11-22","2017-03-05",4899.0,103,"Celia Rouche","West",2,"GTX",4821,1,78,"Positive Variance"
"LXZA2OSZ","Corliss Cosme","GTX Plus Pro","Ontomedia","Won","2016-11-23","2017-03-03",5790.0,100,"Cara Losch","East",1,"GTX",5482,1,308,"Positive Variance"
"N0ONCYVZ","Donn Cantrell","MG Special","Kinnamplus","Lost","2016-11-23","2017-03-30",0.0,127,"Rocco Neubert","East",5,"MG",55,1,-55,"Negative Variance"
"513DPFX5","Gladys Colclough","GTX Pro","Codehow","Won","2016-11-23","2017-03-03",4438.0,100,"Melvin Marxen","Central",4,"GTX",4821,1,-383,"Negative Variance"
"RU023K5W","Gladys Colclough","MG Advanced","Finhigh","Won","2016-11-23","2017-03-17",2972.0,114,"Melvin Marxen","Central",4,"MG",3393,1,-421,"Negative Variance"
"BZCBQ514","Markita Hansen","GTX Basic","Y-corporation","Won","2016-11-23","2017-03-01",523.0,98,"Celia Rouche","West",2,"GTX",550,1,-27,"Negative Variance"
"HEE6P0QH","Anna Snelling","MG Advanced","Statholdings","Won","2016-11-24","2017-03-25",3647.0,121,"Dustin Brinkmann","Central",3,"MG",3393,1,254,"Positive Variance"
"L8CHRJ2B","Cassey Cress","MG Advanced","Umbrella Corporation","Won","2016-11-24","2017-03-01",4200.0,97,"Rocco Neubert","East",5,"MG",3393,1,807,"Positive Variance"
"V2X2KMUR","Kami Bicknell","GTX Plus Basic","Faxquote","Won","2016-11-24","2017-03-28",1059.0,124,"Summer Sewald","West",6,"GTX",1096,1,-37,"Negative Variance"
"AJIPJP75","Marty Freudenburg","GTX Plus Basic","Codehow","Lost","2016-11-24","2017-03-05",0.0,101,"Melvin Marxen","Central",4,"GTX",1096,1,-1096,"Negative Variance"
"NYVA2G6U","Versie Hillebrand","MG Special","Dontechi","Won","2016-11-24","2017-03-02",57.0,98,"Dustin Brinkmann","Central",3,"MG",55,1,2,"Positive Variance"
"FF45BXTL","Vicki Laflamme","MG Advanced","Konex","Won","2016-11-24","2017-03-27",3671.0,123,"Celia Rouche","West",2,"MG",3393,1,278,"Positive Variance"
"TTA9LYBS","Anna Snelling","MG Special","Treequote","Won","2016-11-25","2017-03-01",58.0,96,"Dustin Brinkmann","Central",3,"MG",55,1,3,"Positive Variance"
"PAGZQH8L","Cecily Lampkin","MG Advanced","Treequote","Won","2016-11-25","2017-03-06",3956.0,101,"Dustin Brinkmann","Central",3,"MG",3393,1,563,"Positive Variance"
"J7YF6DS7","Corliss Cosme","GTX Plus Pro","Betasoloin","Won","2016-11-25","2017-03-01",5964.0,96,"Cara Losch","East",1,"GTX",5482,1,482,"Positive Variance"
"S5IXY4Z9","Corliss Cosme","GTX Pro","Betasoloin","Won","2016-11-25","2017-03-06",4570.0,101,"Cara Losch","East",1,"GTX",4821,1,-251,"Negative Variance"
"JQBJMETQ","Darcel Schlecht","MG Special","Domzoom","Won","2016-11-25","2017-03-27",49.0,122,"Melvin Marxen","Central",4,"MG",55,1,-6,"Negative Variance"
"0LVWSWEW","Violet Mclelland","MG Special","Donquadtech","Won","2016-11-25","2017-03-06",65.0,101,"Cara Losch","East",1,"MG",55,1,10,"Positive Variance"
"K53BC1T9","Anna Snelling","MG Special","Domzoom","Lost","2016-11-26","2017-03-27",0.0,121,"Dustin Brinkmann","Central",3,"MG",55,1,-55,"Negative Variance"
"D40N5I9Y","Darcel Schlecht","GTX Pro","Finhigh","Won","2016-11-26","2017-03-08",4739.0,102,"Melvin Marxen","Central",4,"GTX",4821,1,-82,"Negative Variance"
"051QTX8Z","Niesha Huffines","GTX Plus Basic","Globex Corporation","Won","2016-11-26","2017-03-21",1080.0,115,"Melvin Marxen","Central",4,"GTX",1096,1,-16,"Negative Variance"
"5D2XH04S","Reed Clapper","MG Special","Plussunin","Won","2016-11-26","2017-03-12",57.0,106,"Rocco Neubert","East",5,"MG",55,1,2,"Positive Variance"
"V9E582SK","Garret Kinder","GTX Basic","Konex","Won","2016-11-27","2017-03-16",469.0,109,"Cara Losch","East",1,"GTX",550,1,-81,"Negative Variance"
"UK0LEZRJ","Kary Hendrixson","GTX Basic","Condax","Won","2016-11-27","2017-03-03",532.0,96,"Summer Sewald","West",6,"GTX",550,1,-18,"Negative Variance"
"IT10CFQH","Rosalina Dieter","GTX Basic","Konex","Won","2016-11-27","2017-03-26",538.0,119,"Celia Rouche","West",2,"GTX",550,1,-12,"Negative Variance"
"8VKD2CCH","Rosie Papadopoulos","GTX Pro","Massive Dynamic","Won","2016-11-27","2017-03-21",4829.0,114,"Cara Losch","East",1,"GTX",4821,1,8,"Positive Variance"
"2XQAKBXH","Zane Levy","GTX Plus Pro","Doncon","Won","2016-11-27","2017-03-11",5370.0,104,"Summer Sewald","West",6,"GTX",5482,1,-112,"Negative Variance"
"7G7YLGJO","Zane Levy","GTX Plus Pro","Hatfan","Won","2016-11-27","2017-03-21",6499.0,114,"Summer Sewald","West",6,"GTX",5482,1,1017,"Positive Variance"
"GCA97W27","Darcel Schlecht","GTX Plus Basic","Genco Pura Olive Oil Company","Won","2016-11-28","2017-03-06",1161.0,98,"Melvin Marxen","Central",4,"GTX",1096,1,65,"Positive Variance"
"K8FUZHOG","Kary Hendrixson","GTX Basic","Scotfind","Won","2016-11-28","2017-03-26",576.0,118,"Summer Sewald","West",6,"GTX",550,1,26,"Positive Variance"
"5WJZMULK","Maureen Marcano","GTX Plus Basic","Hatfan","Won","2016-11-28","2017-03-19",979.0,111,"Summer Sewald","West",6,"GTX",1096,1,-117,"Negative Variance"
"ZPYD4T9W","Versie Hillebrand","MG Special","Stanredtax","Won","2016-11-28","2017-03-07",43.0,99,"Dustin Brinkmann","Central",3,"MG",55,1,-12,"Negative Variance"
"KE9ZEDS8","Gladys Colclough","MG Special","Scottech","Won","2016-11-29","2017-03-07",57.0,98,"Melvin Marxen","Central",4,"MG",55,1,2,"Positive Variance"
"7KK0HQ4C","Lajuana Vencill","MG Special","Ron-tech","Lost","2016-11-29","2017-03-28",0.0,119,"Dustin Brinkmann","Central",3,"MG",55,1,-55,"Negative Variance"
"FP7014Z0","Lajuana Vencill","GTX Plus Basic","Funholding","Won","2016-11-29","2017-03-12",948.0,103,"Dustin Brinkmann","Central",3,"GTX",1096,1,-148,"Negative Variance"
"N4HFHDMW","Wilburn Farren","MG Advanced","Plussunin","Won","2016-11-29","2017-03-10",3012.0,101,"Cara Losch","East",1,"MG",3393,1,-381,"Negative Variance"
"2HFLKREC","Cassey Cress","MG Advanced","Zotware","Won","2016-11-30","2017-03-15",3665.0,105,"Rocco Neubert","East",5,"MG",3393,1,272,"Positive Variance"
"7JVTTVCO","Violet Mclelland","GTX Basic","Gekko & Co","Won","2016-11-30","2017-03-24",564.0,114,"Cara Losch","East",1,"GTX",550,1,14,"Positive Variance"
"3X13866U","Anna Snelling","GTX Plus Basic","dambase","Lost","2016-12-01","2017-03-06",0.0,95,"Dustin Brinkmann","Central",3,"GTX",1096,1,-1096,"Negative Variance"
"7LE19SYE","Cassey Cress","MG Advanced","Initech","Won","2016-12-01","2017-03-22",3463.0,111,"Rocco Neubert","East",5,"MG",3393,1,70,"Positive Variance"
"J5V2M7Y1","Corliss Cosme","GTX Basic","Gekko & Co","Won","2016-12-01","2017-03-26",513.0,115,"Cara Losch","East",1,"GTX",550,1,-37,"Negative Variance"
"41MURAI5","Corliss Cosme","GTX Basic","Konex","Won","2016-12-01","2017-03-28",590.0,117,"Cara Losch","East",1,"GTX",550,1,40,"Positive Variance"
"QHI8WRIA","Darcel Schlecht","GTX Pro","Dontechi","Won","2016-12-01","2017-03-30",4511.0,119,"Melvin Marxen","Central",4,"GTX",4821,1,-310,"Negative Variance"
"AJXAXV4W","Lajuana Vencill","MG Advanced","Finhigh","Lost","2016-12-01","2017-03-02",0.0,91,"Dustin Brinkmann","Central",3,"MG",3393,1,-3393,"Negative Variance"
"VPDXX5PJ","Niesha Huffines","GTX Basic","Cancity","Won","2016-12-01","2017-03-26",546.0,115,"Melvin Marxen","Central",4,"GTX",550,1,-4,"Negative Variance"
"PZB9NUK8","Vicki Laflamme","MG Special","Y-corporation","Won","2016-12-01","2017-03-05",46.0,94,"Celia Rouche","West",2,"MG",55,1,-9,"Negative Variance"
"A0ANOYPF","Darcel Schlecht","GTX Pro","Ron-tech","Won","2016-12-02","2017-03-09",4891.0,97,"Melvin Marxen","Central",4,"GTX",4821,1,70,"Positive Variance"
"0P4AAPYX","Hayden Neloms","GTX Plus Basic","Golddex","Won","2016-12-02","2017-03-03",1040.0,91,"Celia Rouche","West",2,"GTX",1096,1,-56,"Negative Variance"
"O6T5WC3W","Hayden Neloms","GTX Plus Basic","Sonron","Won","2016-12-02","2017-03-04",1108.0,92,"Celia Rouche","West",2,"GTX",1096,1,12,"Positive Variance"
"0NO04P6C","Hayden Neloms","MG Special","Nam-zim","Won","2016-12-02","2017-03-04",59.0,92,"Celia Rouche","West",2,"MG",55,1,4,"Positive Variance"
"22OFSXBT","Jonathan Berthelot","GTX Pro","Statholdings","Won","2016-12-02","2017-03-30",5406.0,118,"Melvin Marxen","Central",4,"GTX",4821,1,585,"Positive Variance"
"MRXZTMM6","Kary Hendrixson","GTX Basic","Cheers","Won","2016-12-02","2017-03-20",515.0,108,"Summer Sewald","West",6,"GTX",550,1,-35,"Negative Variance"
"LGI8QEC2","Moses Frase","GTX Basic","Treequote","Won","2016-12-02","2017-03-06",583.0,94,"Dustin Brinkmann","Central",3,"GTX",550,1,33,"Positive Variance"
"6KZ0NCFX","Versie Hillebrand","MG Special","Funholding","Won","2016-12-02","2017-03-14",54.0,102,"Dustin Brinkmann","Central",3,"MG",55,1,-1,"Negative Variance"
"3SF8O9S6","Vicki Laflamme","MG Special","Plusstrip","Won","2016-12-02","2017-03-27",60.0,115,"Celia Rouche","West",2,"MG",55,1,5,"Positive Variance"
"XK668R7C","Darcel Schlecht","GTX Basic","Dontechi","Lost","2016-12-03","2017-03-12",0.0,99,"Melvin Marxen","Central",4,"GTX",550,1,-550,"Negative Variance"
"TZCAQWL3","Darcel Schlecht","GTX Pro","Funholding","Lost","2016-12-03","2017-03-19",0.0,106,"Melvin Marxen","Central",4,"GTX",4821,1,-4821,"Negative Variance"
"BADC6A9H","Darcel Schlecht","GTX Basic","Globex Corporation","Won","2016-12-03","2017-03-23",516.0,110,"Melvin Marxen","Central",4,"GTX",550,1,-34,"Negative Variance"
"B8E0UUZR","Darcel Schlecht","GTX Pro","Rangreen","Won","2016-12-03","2017-03-22",4829.0,109,"Melvin Marxen","Central",4,"GTX",4821,1,8,"Positive Variance"
"I043RXJV","Moses Frase","GTX Plus Basic","Dontechi","Lost","2016-12-03","2017-03-17",0.0,104,"Dustin Brinkmann","Central",3,"GTX",1096,1,-1096,"Negative Variance"
"MWWB44CC","Reed Clapper","GTX Plus Basic","Donquadtech","Won","2016-12-03","2017-03-02",950.0,89,"Rocco Neubert","East",5,"GTX",1096,1,-146,"Negative Variance"
"HBTINPDG","Vicki Laflamme","GTX Plus Basic","Xx-holding","Lost","2016-12-03","2017-03-09",0.0,96,"Celia Rouche","West",2,"GTX",1096,1,-1096,"Negative Variance"
"DZ3KHZSX","Corliss Cosme","GTX Basic","Initech","Won","2016-12-04","2017-03-20",513.0,106,"Cara Losch","East",1,"GTX",550,1,-37,"Negative Variance"
"3W1K7X5F","Darcel Schlecht","GTX Pro","Condax","Lost","2016-12-04","2017-03-09",0.0,95,"Melvin Marxen","Central",4,"GTX",4821,1,-4821,"Negative Variance"
"45A57X68","Darcel Schlecht","GTX Plus Pro","Ron-tech","Won","2016-12-04","2017-03-12",5522.0,98,"Melvin Marxen","Central",4,"GTX",5482,1,40,"Positive Variance"
"9SLYC4TR","Gladys Colclough","MG Special","Cancity","Won","2016-12-04","2017-03-09",56.0,95,"Melvin Marxen","Central",4,"MG",55,1,1,"Positive Variance"
"JLWKWQYC","James Ascencio","GTX Pro","Doncon","Won","2016-12-04","2017-03-08",5673.0,94,"Summer Sewald","West",6,"GTX",4821,1,852,"Positive Variance"
"7QC6FOKW","Kami Bicknell","GTX Basic","Xx-holding","Won","2016-12-04","2017-03-10",598.0,96,"Summer Sewald","West",6,"GTX",550,1,48,"Positive Variance"
"XA184CMW","Marty Freudenburg","GTX Plus Pro","Rangreen","Won","2016-12-04","2017-03-16",5787.0,102,"Melvin Marxen","Central",4,"GTX",5482,1,305,"Positive Variance"
"S0N7BYU3","Maureen Marcano","GTX Plus Basic","Singletechno","Won","2016-12-04","2017-03-08",1070.0,94,"Summer Sewald","West",6,"GTX",1096,1,-26,"Negative Variance"
"6WOMHAJM","Boris Faz","MG Advanced","Donquadtech","Won","2016-12-05","2017-03-14",3677.0,99,"Rocco Neubert","East",5,"MG",3393,1,284,"Positive Variance"
"G1QGATKV","Cassey Cress","GTX Plus Pro","Ontomedia","Won","2016-12-05","2017-03-30",5425.0,115,"Rocco Neubert","East",5,"GTX",5482,1,-57,"Negative Variance"
"6XFVQI32","Donn Cantrell","MG Advanced","Yearin","Won","2016-12-05","2017-03-23",3415.0,108,"Rocco Neubert","East",5,"MG",3393,1,22,"Positive Variance"
"OGD4MDJ9","Maureen Marcano","GTX Plus Basic","Lexiqvolax","Won","2016-12-05","2017-03-21",891.0,106,"Summer Sewald","West",6,"GTX",1096,1,-205,"Negative Variance"
"4NGBUZWJ","Lajuana Vencill","GTX Basic","Codehow","Won","2016-12-06","2017-03-12",609.0,96,"Dustin Brinkmann","Central",3,"GTX",550,1,59,"Positive Variance"
"EFG5DGV5","Markita Hansen","MG Special","Plusstrip","Won","2016-12-06","2017-03-16",54.0,100,"Celia Rouche","West",2,"MG",55,1,-1,"Negative Variance"
"82MM4H33","Zane Levy","GTX Plus Basic","Labdrill","Won","2016-12-06","2017-03-09",1049.0,93,"Summer Sewald","West",6,"GTX",1096,1,-47,"Negative Variance"
"14PM641K","Cassey Cress","GTX Plus Basic","Gekko & Co","Won","2016-12-07","2017-03-07",1152.0,90,"Rocco Neubert","East",5,"GTX",1096,1,56,"Positive Variance"
"DSBGHOPN","Daniell Hammack","MG Special","Plussunin","Lost","2016-12-07","2017-03-20",0.0,103,"Rocco Neubert","East",5,"MG",55,1,-55,"Negative Variance"
"1YSOZLHF","Daniell Hammack","GTX Pro","Umbrella Corporation","Won","2016-12-07","2017-03-28",4799.0,111,"Rocco Neubert","East",5,"GTX",4821,1,-22,"Negative Variance"
